Date,미결제 약정 (Open Interest)
2023.5.27,8231409186
2023.5.28,8811796035
2023.5.29,8691415120
2023.5.30,8725676166
2023.5.31,8457011044
2023.6.1,8482884743
2023.6.2,8560596259
2023.6.3,8538271386
2023.6.4,8369260416
2023.6.5,8549585365
2023.6.6,8425683871
2023.6.7,7889570947
2023.6.8,8001595911
2023.6.9,8008401109
2023.6.10,7882525508
2023.6.11,7845447664
2023.6.12,7954595644
2023.6.13,8100336880
2023.6.14,7881644182
2023.6.15,8044209347
2023.6.16,8470217745
2023.6.17,8327149911
2023.6.18,8331698395
2023.6.19,8597445235
2023.6.20,9708538252
2023.6.21,9701219616
2023.6.22,9777732553
2023.6.23,9953236558
2023.6.24,9872397790
2023.6.25,9875434904
2023.6.26,9875271654
2023.6.27,10073921718
2023.6.28,9779826579
2023.6.29,9999816787
2023.6.30,9212816396
2023.7.1,9424098440
2023.7.2,9361273630
2023.7.3,10051871974
2023.7.4,9792556247
2023.7.5,9727973662
2023.7.6,9210823287
2023.7.7,9257767463
2023.7.8,9174273640
2023.7.9,9178680544
2023.7.10,9455788336
2023.7.11,9194979016
2023.7.12,9416877264
2023.7.13,9707914649
2023.7.14,8948987604
2023.7.15,9324464454
2023.7.16,9362947680
2023.7.17,9434024092
2023.7.18,9607355598
2023.7.19,9479569221
2023.7.20,9596334079
2023.7.21,9430950800
2023.7.22,9356068481
2023.7.23,9223409235
2023.7.24,9780705785
2023.7.25,9620733509
2023.7.26,9588715854
2023.7.27,9648632425
2023.7.28,9720944458
2023.7.29,9732221101
2023.7.30,9656512210
2023.7.31,9845067266
2023.8.1,9855028393
2023.8.2,9774097876
2023.8.3,9851143193
2023.8.4,9911910284
2023.8.5,9846533750
2023.8.6,9731861966
2023.8.7,9841510550
2023.8.8,10428994540
2023.8.9,9983437034
2023.8.10,10070140023
2023.8.11,10029073810
2023.8.12,9984906846
2023.8.13,9873877110
2023.8.14,9687610855
2023.8.15,9980862185
2023.8.16,10069792179
2023.8.17,7927640474
2023.8.18,7441130072
2023.8.19,7261928644
2023.8.20,7427555380
2023.8.21,7435269855
2023.8.22,7189442174
2023.8.23,7159917201
2023.8.24,7198342998
2023.8.25,7104092591
2023.8.26,7130583520
2023.8.27,7220202279
2023.8.28,7174827647
2023.8.29,8122889385
2023.8.30,7747954053
2023.8.31,7034239087
2023.9.1,7040881500
2023.9.2,7024409094
2023.9.3,7087576498
2023.9.4,6981415482
2023.9.5,7132569736
2023.9.6,7121885757
2023.9.7,7304459804
2023.9.8,7239175932
2023.9.9,7203328509
2023.9.10,7077530274
2023.9.11,7280578539
2023.9.12,7305910679
2023.9.13,7525890937
2023.9.14,7829221789
2023.9.15,7571624076
2023.9.16,7552150993
2023.9.17,7458166251
2023.9.18,7737788840
2023.9.19,8003681722
2023.9.20,7793473517
2023.9.21,7685125957
2023.9.22,7635957816
2023.9.23,7591606895
2023.9.24,7517551676
2023.9.25,7677022040
2023.9.26,7831005520
2023.9.27,7809118323
2023.9.28,8210313423
2023.9.29,7975582153
2023.9.30,8036632264
2023.10.1,8148200987
2023.10.2,8076466670
2023.10.3,8081967325
2023.10.4,8404391667
2023.10.5,8379867266
2023.10.6,8711729020
2023.10.7,8681505244
2023.10.8,8655803276
2023.10.9,8477678012
2023.10.10,8492383378
2023.10.11,8582831250
2023.10.12,8491728163
2023.10.13,8467319636
2023.10.14,8497083913
2023.10.15,8700942696
